Sample,NES
TCGA.08.0390.01,0.892709482
TCGA.19.1789.01,0.561553764
TCGA.41.3392.01,0.823422928
TCGA.02.0064.01,0.94047041
TCGA.08.0380.01,0.71823131
TCGA.06.0939.01,0.789805707
TCGA.27.1835.01,0.367833881
TCGA.06.0882.01,0.778744485
TCGA.06.6390.01,0.762308025
TCGA.06.2557.01,0.591094264
TCGA.02.0068.01,0.891091636
TCGA.06.1801.01,0.720457632
TCGA.06.0124.01,0.916929016
TCGA.28.2509.01,0.882646416
TCGA.26.5136.01,0.96844664
TCGA.19.5959.01,0.724332595
TCGA.14.0813.01,0.8416042
TCGA.14.1825.01,0.536956837
TCGA.06.5413.01,0.801782171
TCGA.19.5947.01,0.987435514
TCGA.27.2523.01,0.632472519
TCGA.41.3915.01,0.883693703
TCGA.19.1388.01,0.645591138
TCGA.12.0820.01,0.572489132
TCGA.14.1034.01,0.849656069
TCGA.06.2566.01,0.691677089
TCGA.02.0089.01,0.857141254
TCGA.06.0646.01,0.80782682
TCGA.02.0048.01,0.528744303
TCGA.06.0650.01,0.93868818
TCGA.02.0060.01,0.864327169
TCGA.19.5952.01,0.954408601
TCGA.32.2634.01,0.745628055
TCGA.06.0197.01,0.875655718
TCGA.28.5207.01,0.654672396
TCGA.08.0352.01,0.92937873
TCGA.28.2513.01,0.907494008
TCGA.28.1751.01,0.933996192
TCGA.12.3651.01,0.497804002
TCGA.32.2495.01,0.855669945
TCGA.27.1830.01,0.852951246
TCGA.06.0184.01,0.796796306
TCGA.12.3652.01,0.644149985
TCGA.28.1755.01,0.880646943
TCGA.14.3477.01,0.457304133
TCGA.06.2559.01,0.831478294
TCGA.06.0747.01,0.839341851
TCGA.06.0139.01,0.893484205
TCGA.06.0152.01,0.770190055
TCGA.76.4927.01,0.75534617
TCGA.02.0104.01,0.254158991
TCGA.12.0670.01,0.66689967
TCGA.02.0004.01,0.927421015
TCGA.12.3648.01,0.763075453
TCGA.41.2572.01,0.788131303
TCGA.06.0130.01,0.923040257
TCGA.06.0749.01,0.657278585
TCGA.19.4068.01,0.676862706
TCGA.12.3644.01,0.765477082
TCGA.12.0829.01,0.885480064
TCGA.14.1451.01,0.833070914
TCGA.12.5301.01,0.83262272
TCGA.32.1976.01,0.70252457
TCGA.27.2519.01,0.815140957
TCGA.02.0102.01,0.861673805
TCGA.02.0023.01,0.839117306
TCGA.19.1387.01,0.837363749
TCGA.02.0034.01,0.691936235
TCGA.12.1598.01,0.775513019
TCGA.06.0878.01,0.877056301
TCGA.12.1092.01,0.835903796
TCGA.08.0375.01,0.809463586
TCGA.27.1837.01,0.673095147
TCGA.08.0356.01,0.831065682
TCGA.28.1745.01,0.746342905
TCGA.32.2491.01,0.929064548
TCGA.06.0143.01,0.905834923
TCGA.08.0385.01,0.646729094
TCGA.14.0781.01,0.936474785
TCGA.02.0047.01,0
TCGA.02.0027.01,0.765543013
